,fold,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc_score
0,0,0.9931192660550459,0.9931192660550459,0.9931192660550459,0.9931192660550459,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  36   0   0   0   0   0   0   0   0]
 [  0   0  98   0   0   0   0   0   0   2]
 [  0   0   2  98   0   0   0   0   0   0]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   0   0   0  96   0   0   0   0]
 [  0   0   0   0   0   0  35   0   0   0]
 [  1   0   0   0   0   0   0 118   0   0]
 [  0   0   0   0   0   0   0   0  86   0]
 [  0   0   0   0   0   0   0   0   1  99]]",0.9999733359850967
1,1,0.9876126126126126,0.9876126126126126,0.9876126126126126,0.9876126126126126,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  42   0   0   0   0   0   0   0   0]
 [  2   0  98   0   0   0   0   0   0   0]
 [  0   0   0  99   0   0   0   0   0   1]
 [  0   0   0   0  95   0   0   5   0   0]
 [  0   0   0   0   0  99   0   0   1   0]
 [  0   0   0   0   0   0  35   0   0   0]
 [  0   0   0   0   0   0   0 120   0   0]
 [  0   0   0   0   0   0   0   0  91   0]
 [  0   1   1   0   0   0   0   0   0  98]]",0.9998717912650662
2,2,0.9881081081081081,0.9881081081081081,0.9881081081081081,0.9881081081081081,"[[ 99   0   0   0   0   0   0   0   1   0]
 [  0  43   0   0   0   0   0   0   0   0]
 [  0   0  98   2   0   0   0   0   0   0]
 [  0   0   1  97   0   0   0   0   0   2]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   0   0   0 106   0   1   0   0]
 [  0   0   0   0   0   0  36   0   0   0]
 [  0   0   0   0   0   0   0 120   0   0]
 [  0   0   1   0   0   0   0   0 118   0]
 [  0   0   3   0   0   0   0   0   0  97]]",0.9998091703346568
3,3,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  58   0   0   1   0   0   0   0   0]
 [  0   0  96   1   0   0   0   0   1   2]
 [  0   0   0  99   1   0   0   0   0   0]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   0   0   0 107   0   0   0   0]
 [  0   0   0   0   0   0  38   0   0   0]
 [  0   0   0   0   0   0   0 119   0   1]
 [  0   0   0   0   0   0   0   0 166   0]
 [  1   0   0   2   0   1   0   0   0  96]]",0.9999308176897393
4,4,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  97   0   0   0   0   0   0   0   1]
 [  0   0  99   1   0   0   0   0   0   0]
 [  0   0   1  99   0   0   0   0   0   0]
 [  0   0   0   0  99   0   0   1   0   0]
 [  0   0   0   0   1 106   0   0   0   0]
 [  0   0   0   1   0   0  39   0   0   0]
 [  0   0   0   0   1   0   0 119   0   0]
 [  0   0   0   0   0   0   0   0  71   0]
 [  0   0   0   1   0   0   0   0   0  99]]",0.9980956835233649
5,5,0.9866342648845686,0.9866342648845686,0.9866342648845686,0.9866342648845686,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  28   0   0   0   0   0   0   0   0]
 [  0   0  97   0   0   1   0   0   0   2]
 [  0   0   2  97   0   0   0   1   0   0]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   1   0   0 106   0   0   0   0]
 [  0   0   0   0   0   0  46   0   0   0]
 [  1   0   0   0   0   0   0  67   0   0]
 [  0   0   1   0   0   0   0   0  73   0]
 [  1   0   0   0   0   1   0   0   0  98]]",0.9999093769468204
6,6,0.9940334128878282,0.9940334128878282,0.9940334128878282,0.9940334128878282,"[[ 99   0   0   0   0   0   0   1   0   0]
 [  0  28   0   0   0   0   0   0   0   0]
 [  0   0 100   0   0   0   0   0   0   0]
 [  0   0   0  99   0   0   0   0   1   0]
 [  0   0   0   0  99   0   0   1   0   0]
 [  0   0   0   0   0 106   0   0   0   0]
 [  0   0   0   0   0   0  51   0   0   0]
 [  0   0   0   0   2   0   0  74   0   0]
 [  0   0   0   0   0   0   0   0  77   0]
 [  0   0   0   0   0   0   0   0   0 100]]",0.9999222525983423
7,7,0.9900744416873449,0.9900744416873449,0.9900744416873449,0.9900744416873449,"[[ 97   0   1   0   0   0   0   0   0   2]
 [  0  30   0   0   0   0   0   0   0   0]
 [  0   0 100   0   0   0   0   0   0   0]
 [  0   1   1  98   0   0   0   0   0   0]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   0   0   0  88   0   0   0   0]
 [  0   0   0   0   0   0  30   0   0   0]
 [  0   0   0   0   0   0   0  78   0   0]
 [  0   0   0   0   0   1   0   0  79   0]
 [  0   0   2   0   0   0   0   0   0  98]]",0.9994052560920255
8,8,0.9926470588235294,0.9926470588235294,0.9926470588235294,0.9926470588235294,"[[100   0   0   0   0   0   0   0   0   0]
 [  0  32   0   0   0   0   0   0   0   0]
 [  0   0  96   1   0   0   0   0   1   2]
 [  0   0   0  99   0   1   0   0   0   0]
 [  0   0   0   0 100   0   0   0   0   0]
 [  0   0   0   0   0  89   0   0   0   0]
 [  0   0   0   1   0   0  30   0   0   0]
 [  0   0   0   0   0   0   0  82   0   0]
 [  0   0   0   0   0   0   0   0  82   0]
 [  0   0   0   0   0   0   0   0   0 100]]",0.9997228459996809
9,9,0.7718040621266428,0.7718040621266428,0.7718040621266428,0.7718040621266428,"[[61  0  2  0 14  4  0 12  6  1]
 [ 1 29  0  0  0  0  0  1  0  2]
 [ 1  0 88  7  0  1  0  0  1  2]
 [ 0  0  5 87  3  0  0  0  0  5]
 [ 7  0  4  6 61  0  0 18  3  1]
 [ 9  2  2  4  0 72  0  3  1  0]
 [ 0  0  0  2  0  0 30  0  0  0]
 [ 0  0  1  0 18  1  0 74  1  1]
 [ 2  0 13 10  1  0  0  0 57  0]
 [ 0  0 11  0  1  0  0  0  1 87]]",0.9726338239853163
