,path,slice_file_name,fsID,start,end,salience,fold,classID,class,Sample Rate
8678,data\UrbanSound8K\audio\fold9\79089-0-0-6.wav,79089-0-0-6.wav,79089,12.664375,16.664375,2,9,0,air_conditioner,<function samplerate at 0x00000220394A9318>
7724,data\UrbanSound8K\audio\fold8\54383-0-0-5.wav,54383-0-0-5.wav,54383,2.5,6.5,1,8,0,air_conditioner,<function samplerate at 0x00000220394A9318>
3549,data\UrbanSound8K\audio\fold4\117536-1-0-0.wav,117536-1-0-0.wav,117536,31.064967,31.640588,2,4,1,car_horn,<function samplerate at 0x00000220394A9318>
5325,data\UrbanSound8K\audio\fold5\72259-1-5-3.wav,72259-1-5-3.wav,72259,118.02864199999999,122.02864199999999,2,5,1,car_horn,<function samplerate at 0x00000220394A9318>
8725,data\UrbanSound8K\audio\fold9\99500-2-0-11.wav,99500-2-0-11.wav,99500,5.5,9.5,2,9,2,children_playing,<function samplerate at 0x00000220394A9318>
7614,data\UrbanSound8K\audio\fold8\207214-2-0-31.wav,207214-2-0-31.wav,207214,15.5,19.5,2,8,2,children_playing,<function samplerate at 0x00000220394A9318>
8689,data\UrbanSound8K\audio\fold9\7975-3-0-0.wav,7975-3-0-0.wav,7975,173.04952600000001,177.04952600000001,2,9,3,dog_bark,<function samplerate at 0x00000220394A9318>
7691,data\UrbanSound8K\audio\fold8\44110-3-1-0.wav,44110-3-1-0.wav,44110,5.517529,6.0720540000000005,1,8,3,dog_bark,<function samplerate at 0x00000220394A9318>
8624,data\UrbanSound8K\audio\fold9\71082-4-1-0.wav,71082-4-1-0.wav,71082,2.551296,4.3514349999999995,1,9,4,drilling,<function samplerate at 0x00000220394A9318>
7551,data\UrbanSound8K\audio\fold8\180134-4-2-16.wav,180134-4-2-16.wav,180134,49.87811,53.87811,1,8,4,drilling,<function samplerate at 0x00000220394A9318>
8602,data\UrbanSound8K\audio\fold9\62567-5-0-5.wav,62567-5-0-5.wav,62567,2.5,6.5,1,9,5,engine_idling,<function samplerate at 0x00000220394A9318>
7157,data\UrbanSound8K\audio\fold8\113203-5-0-4.wav,113203-5-0-4.wav,113203,45.494706,49.494706,1,8,5,engine_idling,<function samplerate at 0x00000220394A9318>
2838,data\UrbanSound8K\audio\fold3\162431-6-0-0.wav,162431-6-0-0.wav,162431,0.0,1.081659,1,3,6,gun_shot,<function samplerate at 0x00000220394A9318>
6493,data\UrbanSound8K\audio\fold7\151065-6-0-0.wav,151065-6-0-0.wav,151065,0.162737,1.759161,1,7,6,gun_shot,<function samplerate at 0x00000220394A9318>
8717,data\UrbanSound8K\audio\fold9\98859-7-1-0.wav,98859-7-1-0.wav,98859,5.852907,7.863599000000001,1,9,7,jackhammer,<function samplerate at 0x00000220394A9318>
7227,data\UrbanSound8K\audio\fold8\125678-7-2-0.wav,125678-7-2-0.wav,125678,50.346621,54.346621,1,8,7,jackhammer,<function samplerate at 0x00000220394A9318>
3146,data\UrbanSound8K\audio\fold3\22601-8-0-46.wav,22601-8-0-46.wav,22601,23.0,27.0,2,3,8,siren,<function samplerate at 0x00000220394A9318>
3462,data\UrbanSound8K\audio\fold3\90014-8-0-3.wav,90014-8-0-3.wav,90014,1.5,5.5,1,3,8,siren,<function samplerate at 0x00000220394A9318>
8709,data\UrbanSound8K\audio\fold9\94182-9-0-9.wav,94182-9-0-9.wav,94182,4.5,8.5,1,9,9,street_music,<function samplerate at 0x00000220394A9318>
7660,data\UrbanSound8K\audio\fold8\34866-9-0-13.wav,34866-9-0-13.wav,34866,6.5,10.5,1,8,9,street_music,<function samplerate at 0x00000220394A9318>
